rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs4672505-?,2e-52,(subset analysis),NR,-,,-,"RN7SL18P,RN7SL51P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:62333197,26974007,Ellinghaus D,2,62333197.0
rs10748781-?,6e-51,(subset analysis),NR,-,,-,LINC01475,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:99523573,26974007,Ellinghaus D,10,99523573.0
rs11581607-?,8.000000000000001e-49,-,NR,-,0.452,[0.39-0.51],IL23R,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:67242007,37156999,Liu Z,1,67242007.0
rs10995271-?,3e-48,(subset analysis),NR,-,,-,"ALDH7A1P4,LINC02929","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:62678726,26974007,Ellinghaus D,10,62678726.0
rs2357623-?,4e-48,(subset analysis),NR,-,,-,"SNX20,NKD1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:50660100,26974007,Ellinghaus D,16,50660100.0
rs6017342-?,5e-46,-,NR,-,0.184,[0.16-0.21],LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST90446794,20:44436388,37156999,Liu Z,20,44436388.0
rs3024495-?,2.0000000000000003e-45,-,NR,-,0.2313,[0.2-0.26],IL10,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:206769068,37156999,Liu Z,1,206769068.0
rs2836882-?,2.0000000000000003e-45,-,NR,-,0.1928,[0.17-0.22],"LINC02940,RPL23AP12",Ulcerative colitis,ulcerative colitis,-,GCST90446794,21:39094644,37156999,Liu Z,21,39094644.0
rs10870077-?,6e-45,(subset analysis),NR,-,,-,CARD9,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,9:136369439,26974007,Ellinghaus D,9,136369439.0
rs6017342-C,1e-43,-,0.53,1.228,,[1.185-1.273],LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST001728,20:44436388,23128233,Jostins L,20,44436388.0
rs56167332-?,3e-43,(subset analysis),NR,-,,-,"IL12B,LINC01845","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:159400761,26974007,Ellinghaus D,5,159400761.0
rs11236797-?,3e-43,(subset analysis),NR,-,,-,"LINC02757,EMSY","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:76588605,26974007,Ellinghaus D,11,76588605.0
rs3024505-A,5e-43,(EA),0.1573,1.2520686,,[1.22-1.28],"IL10,Y_RNA",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:206766559,26192919,Liu JZ,1,206766559.0
rs10758669-?,5e-43,(subset analysis),NR,-,,-,"JAK2,HNRNPA1P41","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,9:4981602,26974007,Ellinghaus D,9,4981602.0
rs11749391-?,1.9999999999999998e-42,(subset analysis),NR,-,,-,IRGM,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:150849504,26974007,Ellinghaus D,5,150849504.0
rs6426833-?,2.9999999999999996e-42,-,NR,-,,-,"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST004133,1:19845367,28067908,de Lange KM,1,19845367.0
rs1801274-A,1e-41,(EA),0.5,1.1863672,,-,FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:161509955,26192919,Liu JZ,1,161509955.0
rs11581607-?,4e-41,-,NR,-,,-,IL23R,Ulcerative colitis,ulcerative colitis,-,GCST004133,1:67242007,28067908,de Lange KM,1,67242007.0
rs12131796-?,5e-41,(subset analysis),NR,-,,-,INAVA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:200909599,26974007,Ellinghaus D,1,200909599.0
rs4409764-?,2.9999999999999998e-40,-,NR,-,0.1503,[0.13-0.17],LINC01475,Ulcerative colitis,ulcerative colitis,-,GCST90446794,10:99524480,37156999,Liu Z,10,99524480.0
rs6658353-?,3e-39,-,NR,-,0.1589,[0.14-0.18],"RNU6-481P,FCGR2A",Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:161499264,37156999,Liu Z,1,161499264.0
rs3806308-G,6e-39,(EA),0.62,1.1850245,,-,RNF186-AS1,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:19816373,26192919,Liu JZ,1,19816373.0
rs3024493-?,1e-38,(subset analysis),NR,-,,-,IL10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:206770623,26974007,Ellinghaus D,1,206770623.0
rs3197999-A,2e-37,(EA),0.2812,1.1865767,,[1.16-1.21],MST1,Ulcerative colitis,ulcerative colitis,-,GCST003045,3:49684099,26192919,Liu JZ,3,49684099.0
rs7134472-A,6e-37,(EA),0.3855,1.1745031,,[1.15-1.2],IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST003045,12:68106206,26192919,Liu JZ,12,68106206.0
rs1131095-?,1e-36,-,NR,-,0.1645,[0.14-0.19],APEH,Ulcerative colitis,ulcerative colitis,-,GCST90446794,3:49676792,37156999,Liu Z,3,49676792.0
rs4409764-A,2e-36,(EA),0.4821,1.1710649,,[1.15-1.2],LINC01475,Ulcerative colitis,ulcerative colitis,-,GCST003045,10:99524480,26192919,Liu JZ,10,99524480.0
rs6426833-A,4e-35,-,0.54,1.3,,[1.25-1.35],"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST000964,1:19845367,21297633,Anderson CA,1,19845367.0
rs17085007-?,4e-35,-,NR,-,0.1751,[0.15-0.2],"RPS21P8,FGFR1OP2P1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,13:26957130,37156999,Liu Z,13,26957130.0
rs145568234-G,5e-35,-,NR,-,1.1793,[0.99-1.37],TSBP1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST90018933,6:32279268,34594039,Sakaue S,6,32279268.0
rs11614178-?,2.0000000000000003e-34,(subset analysis),NR,-,,-,IFNG-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,12:68114342,26974007,Ellinghaus D,12,68114342.0
rs12188300-?,3e-34,(subset analysis),NR,-,,-,"IL12B,LINC01845","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:159402519,26974007,Ellinghaus D,5,159402519.0
rs755374-?,6e-34,-,NR,-,0.1479,[0.12-0.17],"IL12B,LINC01845",Ulcerative colitis,ulcerative colitis,-,GCST90446794,5:159402286,37156999,Liu Z,5,159402286.0
rs36051895-?,9e-34,-,NR,-,0.1486,[0.12-0.17],"JAK2,HNRNPA1P41",Ulcerative colitis,ulcerative colitis,-,GCST90446794,9:4981866,37156999,Liu Z,9,4981866.0
rs2143178-?,2e-33,(subset analysis),NR,-,,-,"RPL3,PDGFB","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,22:39264824,26974007,Ellinghaus D,22,39264824.0
rs34236350-?,9e-33,-,NR,-,0.163,[0.14-0.19],GPR35,Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:240628909,37156999,Liu Z,2,240628909.0
rs1558746-?,9.999999999999999e-33,-,NR,-,0.1919,[0.16-0.22],IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,12:68111348,37156999,Liu Z,12,68111348.0
rs10800314-?,9.999999999999999e-33,(subset analysis),NR,-,,-,"FCGR2A,RNU6-481P","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:161502999,26974007,Ellinghaus D,1,161502999.0
rs11658993-?,9.999999999999999e-33,-,NR,-,0.1374,[0.11-0.16],IKZF3,Ulcerative colitis,ulcerative colitis,-,GCST90446794,17:39784555,37156999,Liu Z,17,39784555.0
rs7608910-?,1.9999999999999998e-32,(subset analysis),NR,-,,-,PUS10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:60977721,26974007,Ellinghaus D,2,60977721.0
rs2836878-?,1.9999999999999998e-32,-,NR,-,,-,"LINC02940,RPL23AP12",Ulcerative colitis,ulcerative colitis,-,GCST004133,21:39093608,28067908,de Lange KM,21,39093608.0
rs141992399-?,1e-31,(subset analysis),NR,-,,-,CARD9,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,9:136365140,26974007,Ellinghaus D,9,136365140.0
rs7554511-C,7.000000000000001e-31,(EA),0.72,1.1808171,,-,INAVA,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:200908434,26192919,Liu JZ,1,200908434.0
rs6062496-?,1.9999999999999998e-30,(subset analysis),NR,-,,-,"TNFRSF6B,RTEL1-TNFRSF6B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:63697746,26974007,Ellinghaus D,20,63697746.0
rs34670647-?,3.9999999999999996e-30,(subset analysis),NR,-,,-,"CORO1A,MAPK3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:30159695,26974007,Ellinghaus D,16,30159695.0
rs6017342-?,3.9999999999999996e-30,-,NR,-,,-,LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST004133,20:44436388,28067908,de Lange KM,20,44436388.0
rs35736272-?,6e-30,(subset analysis),NR,-,,-,ZPBP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:39876427,26974007,Ellinghaus D,17,39876427.0
rs11614178-?,1.0000000000000001e-29,-,NR,-,,-,IFNG-AS1,Ulcerative colitis,ulcerative colitis,-,GCST004133,12:68114342,28067908,de Lange KM,12,68114342.0
rs34963268-?,1.0000000000000001e-29,-,NR,-,0.1819,[0.15-0.21],"ZBTB40,PPIAP34",Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:22384384,37156999,Liu Z,1,22384384.0
rs115378818-C,2.0000000000000002e-29,-,0.9887,-,0.8069,[0.75-0.87],"TSBP1-AS1,TSBP1",Ulcerative colitis,ulcerative colitis,-,GCST90479622,6:32333650,39024449,Verma A,6,32333650.0
rs26528-?,3e-29,(subset analysis),NR,-,,-,IL27,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:28506388,26974007,Ellinghaus D,16,28506388.0
rs34779708-?,5.0000000000000004e-29,(subset analysis),NR,-,,-,CREM,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:35177257,26974007,Ellinghaus D,10,35177257.0
rs2076756-?,5.0000000000000004e-29,-,NR,-,0.068,NR,NOD2,Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),"ulcerative colitis,Crohn's disease",-,GCST90016611,16:50722970,33686288,Peyrot WJ,16,50722970.0
rs6600247-?,9.000000000000001e-29,(subset analysis),NR,-,,-,"MIR4425,RUNX3","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:24978623,26974007,Ellinghaus D,1,24978623.0
rs75900472-C,1.0000000000000001e-28,(EA),0.3496,1.1539809,,[1.13-1.18],"HNRNPA1P41,JAK2",Ulcerative colitis,ulcerative colitis,-,GCST003045,9:4981601,26192919,Liu JZ,9,4981601.0
rs4380874-?,2.0000000000000002e-28,-,NR,-,0.1369,[0.11-0.16],"PIGCP2,DLD",Ulcerative colitis,ulcerative colitis,-,GCST90446794,7:107839870,37156999,Liu Z,7,107839870.0
rs67927699-?,2.0000000000000002e-28,-,NR,-,0.1427,[0.12-0.17],PUS10,Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:60960280,37156999,Liu Z,2,60960280.0
rs2823288-?,4.0000000000000003e-28,(subset analysis),NR,-,,-,"LINC02920,CYCSP42","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,21:15448569,26974007,Ellinghaus D,21,15448569.0
rs11209026-G,5e-28,-,0.94,1.74,,[1.57-1.92],IL23R,Ulcerative colitis,ulcerative colitis,-,GCST000964,1:67240275,21297633,Anderson CA,1,67240275.0
rs11749040-?,7e-28,(subset analysis),NR,-,,-,"RNU1-150P,TTC33","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:40396323,26974007,Ellinghaus D,5,40396323.0
rs16940202-?,1e-27,-,NR,-,0.1605,[0.13-0.19],"LINC01082,LINC02132",Ulcerative colitis,ulcerative colitis,-,GCST90446794,16:85980635,37156999,Liu Z,16,85980635.0
rs56167332-A,7e-27,(EA),0.3375,1.1518488,,[1.13-1.18],"IL12B,LINC01845",Ulcerative colitis,ulcerative colitis,-,GCST003045,5:159400761,26192919,Liu JZ,5,159400761.0
rs74817271-?,1.9999999999999998e-26,(subset analysis),NR,-,,-,TNIP1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:151090412,26974007,Ellinghaus D,5,151090412.0
rs4380874-T,1.9999999999999998e-26,-,0.405,1.137,,[1.097-1.177],"PIGCP2,DLD",Ulcerative colitis,ulcerative colitis,-,GCST001728,7:107839870,23128233,Jostins L,7,107839870.0
rs12968719-?,1.9999999999999998e-26,(subset analysis),NR,-,,-,PTPN2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,18:12879467,26974007,Ellinghaus D,18,12879467.0
rs10781499-A,3.9999999999999996e-26,(EA),0.4263,1.142511,,[1.12-1.17],CARD9,Ulcerative colitis,ulcerative colitis,-,GCST003045,9:136371953,26192919,Liu JZ,9,136371953.0
rs6062496-?,3.9999999999999996e-26,-,NR,-,0.1322,[0.11-0.16],"TNFRSF6B,RTEL1-TNFRSF6B",Ulcerative colitis,ulcerative colitis,-,GCST90446794,20:63697746,37156999,Liu Z,20,63697746.0
rs12946510-A,9.999999999999999e-26,(EA),0.4675,1.141072,,[1.12-1.17],"IKZF3,GRB7",Ulcerative colitis,ulcerative colitis,-,GCST003045,17:39756124,26192919,Liu JZ,17,39756124.0
rs7848647-?,9.999999999999999e-26,(subset analysis),NR,-,,-,"DELEC1,TNFSF15","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,9:114806766,26974007,Ellinghaus D,9,114806766.0
rs6466198-?,1.9999999999999998e-25,(EA),NR,-,,-,"DLD,PIGCP2",Ulcerative colitis,ulcerative colitis,-,GCST003045,7:107839681,26192919,Liu JZ,7,107839681.0
rs10758669-C,1.9999999999999998e-25,-,0.35,1.17,,[1.12-1.21],"JAK2,HNRNPA1P41",Ulcerative colitis,ulcerative colitis,-,GCST000964,9:4981602,21297633,Anderson CA,9,4981602.0
rs3749171-?,1.9999999999999998e-25,(subset analysis),NR,-,,-,GPR35,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:240630275,26974007,Ellinghaus D,2,240630275.0
rs17085007-?,3.9999999999999997e-25,-,NR,1.330294,,-,"RPS21P8,FGFR1OP2P1",Ulcerative colitis,ulcerative colitis,-,GCST90446795,13:26957130,37156999,Liu Z,13,26957130.0
